P_total_dBW,PPV_no_diversity,PPV_fixed_diversity,PPV_adaptive_diversity,no_interleaver,interleaver,fixed,adaptive
-6.00,9.937779e-01,9.580000e-01,7.496912e-01,9.996667e-01,9.993333e-01,9.986667e-01,9.933333e-01
-4.60,9.849966e-01,9.330000e-01,7.168807e-01,9.983333e-01,9.976667e-01,9.923333e-01,9.846667e-01
-3.20,9.783534e-01,8.906669e-01,6.764392e-01,9.973333e-01,9.963333e-01,9.880000e-01,9.766667e-01
-1.80,9.540804e-01,8.230002e-01,6.224918e-01,9.930000e-01,9.893333e-01,9.670000e-01,9.430000e-01
-0.40,9.236140e-01,7.460000e-01,5.620082e-01,9.846667e-01,9.700000e-01,9.346667e-01,8.966667e-01
1.00,9.001621e-01,6.590000e-01,4.952833e-01,9.706667e-01,9.496667e-01,8.980000e-01,8.486667e-01
2.40,8.393960e-01,5.433333e-01,4.065272e-01,9.460000e-01,9.186667e-01,8.243333e-01,7.566667e-01
3.80,7.874259e-01,4.606668e-01,3.451955e-01,9.113333e-01,8.680000e-01,7.363333e-01,6.640000e-01
5.20,7.539363e-01,3.940001e-01,2.938423e-01,8.756667e-01,8.110000e-01,6.633333e-01,5.806667e-01
6.60,6.914388e-01,3.170000e-01,2.367172e-01,8.263333e-01,7.503333e-01,5.603333e-01,4.883333e-01
8.00,6.381664e-01,2.443333e-01,1.816752e-01,7.780000e-01,6.780000e-01,4.810000e-01,4.073333e-01
9.40,5.682790e-01,1.806667e-01,1.352838e-01,7.080000e-01,5.963333e-01,3.696667e-01,3.040000e-01
10.80,5.081045e-01,1.453333e-01,1.084622e-01,6.493333e-01,5.326667e-01,3.030000e-01,2.533333e-01
12.20,4.488855e-01,9.533333e-02,6.997288e-02,5.820000e-01,4.543333e-01,2.273333e-01,1.766667e-01
13.60,4.128900e-01,6.733333e-02,5.014978e-02,5.353333e-01,3.973333e-01,1.733333e-01,1.326667e-01
15.00,3.539167e-01,4.633333e-02,3.355295e-02,4.780000e-01,3.410000e-01,1.303333e-01,9.633333e-02
