f_D_norm,otfs_fixed,otfs_adaptive,ofdm_fixed,ofdm_adaptive
0.0000,2.180000e-01,2.140000e-01,2.010000e-01,1.215000e-01
0.0389,2.150000e-01,2.030000e-01,2.085000e-01,1.225000e-01
0.0778,2.175000e-01,2.095000e-01,2.095000e-01,1.235000e-01
0.1167,1.990000e-01,2.020000e-01,2.535000e-01,1.455000e-01
0.1556,2.050000e-01,1.985000e-01,3.090000e-01,1.840000e-01
0.1944,1.920000e-01,1.795000e-01,3.890000e-01,2.045000e-01
0.2333,1.770000e-01,1.610000e-01,5.115000e-01,3.440000e-01
0.2722,1.620000e-01,1.575000e-01,6.590000e-01,5.050000e-01
0.3111,1.795000e-01,1.680000e-01,8.330000e-01,7.275000e-01
0.3500,1.695000e-01,1.585000e-01,9.380000e-01,8.930000e-01
